"filename", "language", "SCSS", "JavaScript", "Vue.js", "JSON", "Markdown", "HTML", "CSS", "XML", "Python", "Excel", "CSV", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/all_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 47
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/group_return.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 844, 0, 0, 5, 849
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/ic_df.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 145
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/monthly_ic.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/monthly_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 2, 143
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/port_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5788, 0, 0, 20, 5808
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/pred_autocorr.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 133
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/report_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 835, 0, 0, 3, 838
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/scoreic_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 1, 379
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/.~all_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/.~port_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/.~report_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/.~scoreic_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/LS_LA.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 261
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/all_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 78
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/group_return.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 920, 0, 0, 13, 933
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/ic_df.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 157
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/monthly_ic.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 79
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/monthly_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 1, 201
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/port_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6353, 0, 0, 30, 6383
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/pred_autocorr.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 260
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/report_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 970, 0, 0, 8, 978
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/LGBM/scoreic_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 291
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/LS_LA.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 2, 310
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/all_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 44
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/group_return.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 845, 0, 0, 9, 854
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/ic_df.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 149
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/monthly_ic.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 55
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/monthly_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 164
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/port_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5754, 0, 0, 19, 5773
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/pred_autocorr.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 1, 140
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/report_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 911, 0, 0, 4, 915
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/Linear/scoreic_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 329, 0, 0, 0, 329
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/LS_LA.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 1, 282
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/all_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 46
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/group_return.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 781, 0, 0, 6, 787
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/ic_df.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 177
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/monthly_ic.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 51
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/monthly_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 129
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/port_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5665, 0, 0, 21, 5686
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/pred_autocorr.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 1, 187
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/report_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 990, 0, 0, 9, 999
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/MLP/scoreic_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 391, 0, 0, 4, 395
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/LS_LA.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 1, 297
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/all_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 48
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/group_return.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 767, 0, 0, 6, 773
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/ic_df.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 147
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/monthly_ic.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 55
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/monthly_risk_analysis.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 1, 146
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/port_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5442, 0, 0, 20, 5462
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/pred_autocorr.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 146
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/report_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 918, 0, 0, 3, 921
"/Users/zhangyiyao/Desktop/project/pythonhandler/model/TabNet/scoreic_info.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 405, 0, 0, 1, 406
"Total", "-", 191, 970, 5500, 37181, 20, 11, 5, 46, 817, 53185, 7642, 587, 811, 106966
